STUDYID,DOMAIN,ARMCD,ARM,TAETORD,ETCD,ELEMENT,TABRANCH,TATRANS,EPOCH
3110-103-002,TA,ASEQ01,Sequence 1: ABC,1.0,SCRN,Screening,Randomized to Sequence 1: ABC,,SCREENING
3110-103-002,TA,ASEQ01,Sequence 1: ABC,2.0,BASEP1,Baseline Period 1,,,BASELINE
3110-103-002,TA,ASEQ01,Sequence 1: ABC,3.0,TBM1100,TBM Ubrogepant 1 x 100 mg (Test 1),,,TREATMENT
3110-103-002,TA,ASEQ01,Sequence 1: ABC,4.0,BASEP2,Baseline Period 2,,,BASELINE
3110-103-002,TA,ASEQ01,Sequence 1: ABC,5.0,TBM250,TBM Ubrogepant 2 x 50 mg (Test 2),,,TREATMENT
3110-103-002,TA,ASEQ01,Sequence 1: ABC,6.0,BASEP3,Baseline Period 3,,,BASELINE
3110-103-002,TA,ASEQ01,Sequence 1: ABC,7.0,CT250,CT Ubrogepant 2 x 50 mg (Reference 1),,,TREATMENT
3110-103-002,TA,ASEQ01,Sequence 1: ABC,8.0,ET/EOT,Early Termination/ End of Treament,,,END OF TREATMENT
3110-103-002,TA,ASEQ01,Sequence 1: ABC,9.0,FOLLOWUP,Follow-up,,,FOLLOW-UP
3110-103-002,TA,ASEQ02,Sequence 2: ACB,1.0,SCRN,Screening,Randomized to Sequence 2: ACB,,SCREENING
3110-103-002,TA,ASEQ02,Sequence 2: ACB,2.0,BASEP1,Baseline Period 1,,,BASELINE
3110-103-002,TA,ASEQ02,Sequence 2: ACB,3.0,TBM1100,TBM Ubrogepant 1 x 100 mg (Test 1),,,TREATMENT
3110-103-002,TA,ASEQ02,Sequence 2: ACB,4.0,BASEP2,Baseline Period 2,,,BASELINE
3110-103-002,TA,ASEQ02,Sequence 2: ACB,5.0,CT250,CT Ubrogepant 2 x 50 mg (Reference 1),,,TREATMENT
3110-103-002,TA,ASEQ02,Sequence 2: ACB,6.0,BASEP3,Baseline Period 3,,,BASELINE
3110-103-002,TA,ASEQ02,Sequence 2: ACB,7.0,TBM250,TBM Ubrogepant 2 x 50 mg (Test 2),,,TREATMENT
3110-103-002,TA,ASEQ02,Sequence 2: ACB,8.0,ET/EOT,Early Termination/ End of Treament,,,END OF TREATMENT
3110-103-002,TA,ASEQ02,Sequence 2: ACB,9.0,FOLLOWUP,Follow-up,,,FOLLOW-UP
3110-103-002,TA,ASEQ03,Sequence 3: BAC,1.0,SCRN,Screening,Randomized to Sequence 3: BAC,,SCREENING
3110-103-002,TA,ASEQ03,Sequence 3: BAC,2.0,BASEP1,Baseline Period 1,,,BASELINE
